wage,hours,educ,exper,age,married,race
115,50,12,9,29,1,0
1442,40,17,14,38,1,0
1442,40,12,9,37,1,0
1442,40,16,8,35,1,0
1442,40,13,13,29,1,1
1442,60,16,9,31,1,0
1442,40,17,8,33,1,0
1424,50,14,15,35,1,0
1424,50,17,15,37,1,0
1418,45,12,19,36,1,0
1417,48,17,9,34,1,0
1442,40,12,14,36,1,0
1411,45,18,14,38,1,0
1411,45,16,11,32,1,0
1400,42,17,7,31,1,0
1400,40,12,15,36,1,0
1400,40,16,14,35,1,1
1394,40,16,11,30,1,0
1391,50,12,14,32,1,1
1386,42,16,10,34,1,0
1386,40,10,17,37,1,0
1384,50,18,12,37,1,0
1384,50,13,8,31,1,0
1377,37,16,15,36,1,0
1375,40,12,12,29,1,0
1375,40,13,3,30,1,0
1371,40,18,8,36,1,0
1368,45,16,11,33,1,0
1366,38,12,15,32,1,0
1366,40,12,13,30,1,0
1360,45,15,6,36,1,0
1442,40,12,16,33,1,0
1350,40,12,17,35,1,0
1346,40,16,9,38,1,0
1346,50,16,9,36,1,0
1346,40,16,9,30,1,0
1346,40,16,14,35,1,0
1346,40,16,15,37,1,0
1442,40,12,17,36,1,0
1346,40,15,15,35,1,0
1346,45,16,8,31,1,0
1339,38,12,8,33,1,0
1333,45,16,14,38,1,0
1333,60,15,5,30,1,0
1333,45,16,7,34,1,0
1329,55,18,10,36,1,0
1325,45,12,12,28,1,0
1322,40,16,7,33,1,0
1318,38,17,10,33,1,0
1318,38,16,7,28,1,0
1318,35,16,16,37,1,0
1313,40,12,11,28,1,0
1312,40,10,14,32,1,0
1304,45,17,9,31,1,0
1300,35,12,13,31,1,0
1300,40,13,12,33,1,0
1442,40,13,14,36,1,0
1282,60,18,7,32,1,0
1442,40,12,19,36,1,0
1282,45,16,4,32,1,0
1282,45,18,7,32,1,0
1275,40,14,9,31,1,0
1274,40,13,11,31,1,0
1273,55,18,14,37,1,0
1273,55,14,11,36,1,0
1272,40,12,10,30,1,0
1270,40,16,8,31,1,0
1270,40,14,4,36,1,0
1270,40,12,11,30,1,0
1261,40,17,1,35,1,0
1260,45,12,5,29,1,0
1260,45,12,19,37,1,0
1250,40,14,9,29,1,0
1250,40,16,9,30,1,0
1250,40,16,8,30,1,0
1250,40,14,7,28,1,0
1250,40,16,10,33,1,0
1250,40,12,13,34,1,0
1250,32,12,17,33,1,0
1250,40,12,16,33,1,0
1250,40,13,13,30,1,0
1250,44,12,19,38,1,0
1250,40,12,14,35,1,0
1442,40,16,6,29,1,0
1444,40,16,12,37,1,0
1250,40,12,12,32,1,0
1250,60,11,19,38,1,0
1250,46,12,5,38,1,0
1250,32,13,13,33,1,0
1241,40,13,9,33,1,0
1239,45,12,16,38,1,0
1235,40,12,10,33,1,0
1230,50,13,11,30,1,0
1225,40,13,9,32,1,0
1223,40,12,7,28,1,0
1444,40,15,11,29,1,0
1212,40,12,6,38,1,0
1452,45,17,1,30,1,0
1211,27,12,13,31,1,0
1206,40,12,16,38,1,0
1205,40,10,13,32,1,1
1202,40,13,10,31,1,0
1202,40,15,11,28,1,0
1202,40,16,10,33,1,0
1202,40,15,15,37,1,0
1202,48,16,6,28,1,0
1202,40,12,18,37,1,0
1202,40,14,10,29,1,0
1202,40,14,6,31,1,1
1201,50,11,17,36,1,0
1200,40,14,5,30,1,0
1200,40,12,16,33,1,0
1200,42,16,11,30,1,0
1200,40,9,18,34,1,0
1200,50,12,11,28,1,0
1200,50,12,13,32,1,0
1200,40,15,7,33,1,0
1200,40,17,9,32,1,0
1200,40,12,10,31,1,0
1200,40,11,15,37,1,0
1199,43,13,13,30,1,1
1198,32,16,7,30,1,0
1196,45,14,10,32,1,0
1193,50,12,19,36,1,0
1190,40,17,4,34,1,0
1188,40,12,11,30,1,0
1188,40,13,16,35,1,0
1186,30,17,8,33,1,0
1175,45,12,17,34,1,0
1170,47,14,9,32,1,0
1162,48,16,8,31,1,0
1162,45,12,11,37,1,0
1161,40,13,16,36,1,0
1161,50,12,5,34,1,0
1160,40,12,17,38,1,0
1160,40,12,14,33,1,1
1160,40,12,8,31,1,0
1155,40,13,9,28,1,0
1155,40,12,16,34,1,0
1155,40,17,13,38,1,0
1155,45,12,14,34,1,0
1155,60,18,10,37,1,0
1452,35,16,12,38,1,1
1154,45,15,13,36,1,0
1154,50,16,11,33,1,0
1154,42,12,14,29,1,0
1154,50,16,10,35,1,0
1154,40,18,10,37,1,0
1154,40,14,18,37,1,0
1154,40,16,11,35,1,0
1154,40,16,12,34,1,0
1151,48,12,18,38,1,0
1151,40,12,12,29,1,0
1151,45,12,19,36,1,0
1143,35,12,21,38,1,0
1140,48,12,16,35,1,0
1136,50,14,16,34,1,0
1133,40,16,13,36,1,0
1130,50,12,18,37,1,0
1130,40,18,4,38,1,0
1127,40,12,17,36,1,0
1126,40,16,5,32,1,0
1126,40,12,16,32,1,0
1126,40,12,5,31,1,1
1122,48,15,12,31,1,0
1122,60,17,7,32,1,0
1122,35,18,13,32,1,0
1115,40,16,12,33,1,0
1111,40,14,10,29,1,0
1111,45,12,18,37,1,0
1111,40,14,13,31,1,0
1111,45,15,11,32,1,0
1110,52,12,11,33,1,0
1107,40,12,12,38,1,0
1105,40,13,10,30,1,0
1105,40,16,5,29,1,0
1455,40,16,8,36,1,0
1463,45,15,14,37,1,0
1104,54,12,11,29,1,0
1100,40,12,22,38,1,0
1100,37,12,14,30,1,0
1100,50,16,11,32,1,0
1100,40,12,18,36,1,0
1100,40,12,18,37,1,0
1100,40,13,21,38,1,1
1100,40,14,11,33,1,0
1473,40,16,15,36,1,0
1097,50,11,12,28,1,0
1092,44,16,15,36,1,0
1091,50,13,13,37,1,0
1084,45,15,17,37,1,0
1082,55,12,11,29,1,1
1082,40,13,20,36,1,0
1081,40,13,8,30,1,0
1081,40,18,8,38,1,0
1081,40,18,11,36,1,0
1079,50,12,18,36,1,0
1076,38,12,19,36,1,0
1495,45,18,10,32,1,0
1075,40,14,9,30,1,0
1075,40,12,17,33,1,0
1072,42,16,6,35,1,0
1070,40,13,4,32,1,0
1070,40,12,13,30,1,0
1065,40,12,21,36,1,0
1065,65,16,10,34,1,0
1063,40,12,14,32,1,1
1058,40,16,16,37,1,0
1058,40,12,17,38,1,0
1058,40,12,18,35,1,0
1058,45,14,14,34,1,0
1058,40,14,13,34,1,0
1058,40,12,7,29,1,0
1053,38,16,12,32,1,0
1053,40,12,18,37,1,0
1050,50,15,4,31,1,1
1495,45,17,13,33,1,0
1049,55,12,9,32,1,0
1049,44,16,7,33,1,0
1049,50,14,6,32,1,0
1040,40,12,19,38,1,1
1040,48,12,16,35,1,0
1040,40,15,8,35,1,0
1039,40,14,12,34,1,0
1500,40,16,9,32,1,0
1038,48,15,8,36,1,0
1038,50,12,20,36,1,0
1035,48,12,21,38,1,0
1034,40,12,15,36,1,0
1031,40,14,9,29,1,0
1500,40,12,10,34,1,0
1028,40,12,19,37,1,1
1027,45,12,16,35,1,0
1027,27,13,12,38,1,0
1026,45,16,9,30,1,0
1026,45,12,11,28,1,0
1026,45,12,4,38,1,0
1026,60,16,12,35,1,0
1025,40,15,9,29,1,1
1025,48,14,6,32,1,0
1025,40,12,12,29,1,0
1025,40,16,9,30,1,0
1016,40,10,14,37,1,1
1015,40,12,15,32,1,1
1500,60,16,6,29,1,0
1011,40,12,20,37,1,0
1010,50,11,15,38,1,0
1010,40,18,7,34,1,0
1009,40,16,11,32,1,0
1004,40,12,17,34,1,0
1001,40,12,20,37,1,0
1001,48,13,11,33,1,0
1001,34,12,12,29,1,1
1000,50,16,11,30,1,0
1000,60,12,11,30,1,0
1000,48,12,11,28,1,0
1000,40,11,11,29,1,0
1000,44,17,8,34,1,0
1000,40,14,15,35,1,0
1500,40,13,13,32,1,0
1000,40,16,13,35,1,0
1000,40,12,17,38,1,0
1000,65,12,11,29,1,0
1000,40,13,6,33,1,0
1000,40,12,17,34,1,0
1000,40,12,16,32,1,0
1000,40,11,16,34,1,0
1000,40,12,9,28,1,0
1000,40,12,16,36,1,0
1000,45,12,12,29,1,0
1000,55,16,10,33,1,0
1000,44,12,9,29,1,0
1000,50,12,17,36,1,0
1000,40,12,6,37,1,0
1000,45,12,16,38,1,0
1522,46,12,15,37,1,0
1000,45,14,9,30,1,0
1000,40,12,17,36,1,0
1000,43,12,15,35,1,0
1000,40,12,16,34,1,0
1000,40,12,16,35,1,0
1000,40,12,17,35,1,0
1000,40,11,15,37,1,0
1000,45,15,8,32,1,0
996,50,12,5,31,1,0
995,40,9,22,38,1,1
990,40,12,16,34,1,1
990,40,13,13,33,1,0
988,48,12,15,36,1,0
987,38,16,9,31,1,0
987,40,12,11,29,1,0
984,40,13,17,37,1,0
1539,40,17,7,31,1,0
980,40,12,4,36,1,0
978,45,12,17,38,1,0
978,48,12,19,36,1,0
975,40,13,12,30,1,0
975,40,13,8,31,1,0
975,40,9,20,37,1,0
973,36,13,11,32,1,0
971,40,17,5,37,1,0
963,40,14,9,28,1,1
1539,40,12,15,32,1,0
962,40,12,15,34,1,0
962,50,12,21,37,1,0
962,50,14,15,37,1,0
962,40,16,6,28,1,0
962,40,10,15,38,1,0
962,40,12,16,33,1,0
962,40,15,8,37,1,0
962,40,12,15,30,1,0
962,40,12,18,36,1,0
962,55,12,19,36,1,0
962,50,16,7,34,1,0
962,40,16,8,32,1,0
962,50,16,7,30,1,0
1539,45,17,7,34,1,0
960,40,12,11,29,1,1
960,40,13,14,32,1,0
958,60,12,11,28,1,0
958,50,10,17,35,1,0
952,40,13,10,31,1,1
951,60,12,9,30,1,0
951,40,11,13,31,1,0
950,40,11,16,35,1,0
950,44,16,8,32,1,1
950,40,12,14,35,1,0
950,40,10,23,38,1,0
950,40,12,11,30,1,0
1539,40,17,10,37,1,0
950,60,11,13,31,1,0
947,48,18,8,35,1,0
945,40,12,12,38,1,0
942,40,12,7,38,1,0
940,45,18,10,31,1,0
940,45,14,11,36,1,0
940,45,13,15,30,1,1
940,48,12,13,32,1,1
940,40,11,9,29,1,0
938,50,14,15,33,1,0
938,44,12,19,38,1,0
937,40,12,16,35,1,0
937,40,12,14,32,1,0
937,32,16,12,29,1,0
935,44,12,10,29,1,0
931,80,16,4,36,1,0
930,43,18,8,38,1,0
1541,40,12,8,32,1,0
929,40,13,12,30,1,0
926,55,12,18,38,1,0
925,40,12,12,30,1,0
923,40,14,8,35,1,1
923,50,16,10,31,1,0
923,50,16,9,33,1,0
923,40,18,7,34,1,0
923,40,16,15,37,1,0
923,50,14,8,31,1,0
921,38,14,9,33,1,0
915,55,12,17,37,1,0
913,40,14,4,29,1,0
913,40,16,5,31,1,0
1550,40,12,16,34,1,0
910,40,14,5,30,1,1
910,30,12,16,35,1,0
909,40,12,14,33,1,0
909,55,11,17,35,1,0
909,40,13,6,31,1,0
906,40,14,16,37,1,0
905,45,14,11,36,1,0
905,40,12,17,37,1,0
904,50,13,7,33,1,0
903,40,12,6,36,1,0
1559,40,12,17,34,1,0
900,40,12,17,37,1,0
900,40,12,16,33,1,1
900,40,16,8,30,1,0
1562,40,17,7,32,1,0
900,40,12,15,37,1,0
900,40,14,1,30,1,1
900,38,12,10,38,1,0
900,40,10,15,38,1,0
900,40,14,12,31,1,0
1566,40,12,7,29,1,0
1572,35,14,7,28,1,1
895,40,9,17,38,1,1
894,40,18,7,35,1,0
891,40,12,16,32,1,0
890,60,14,9,32,1,0
890,70,12,6,31,1,0
890,48,12,4,31,1,0
889,36,12,12,28,1,0
1573,55,12,5,30,1,0
884,40,17,9,35,1,0
884,46,17,4,36,1,0
884,40,10,19,34,1,0
882,44,12,15,31,1,0
881,40,12,4,36,1,0
1573,55,18,7,34,1,0
879,40,18,1,31,1,0
876,45,16,10,29,1,0
1575,40,12,13,30,1,0
1586,40,16,16,37,1,0
1586,40,14,16,36,1,0
874,55,13,8,33,1,0
873,65,12,14,38,1,0
873,44,12,12,28,1,0
872,45,15,7,29,1,0
866,40,16,7,28,1,0
866,40,14,16,35,1,0
866,40,12,11,30,1,1
866,40,13,15,37,1,0
865,40,13,4,34,1,0
865,40,16,1,31,1,0
865,40,16,5,30,1,0
1600,50,14,16,33,1,0
865,40,16,11,31,1,0
865,40,12,6,30,1,0
865,40,11,10,30,1,0
864,40,12,15,31,1,0
857,65,12,18,38,1,0
857,35,10,14,33,1,0
855,40,12,17,36,1,0
855,40,12,19,36,1,0
855,40,14,6,33,1,0
855,45,16,11,32,1,0
855,45,12,6,31,1,0
1602,60,15,14,37,1,0
852,44,10,13,32,1,0
850,44,12,11,29,1,0
850,43,12,7,28,1,0
850,35,12,11,31,1,0
850,40,12,6,33,1,0
850,40,11,19,38,1,0
850,40,11,16,37,1,0
850,43,16,8,34,1,0
843,40,14,8,29,1,0
841,44,12,15,31,1,0
1602,60,16,8,29,1,0
841,40,18,13,36,1,0
841,40,16,10,29,1,0
840,40,12,19,38,1,0
840,50,12,18,35,1,0
833,48,16,9,31,1,0
833,60,12,15,37,1,0
832,50,13,4,30,1,0
830,44,14,4,29,1,0
829,40,12,15,36,1,0
827,40,16,7,30,1,0
826,40,14,20,37,1,0
825,40,14,11,33,1,0
824,42,12,19,38,1,0
821,45,16,8,32,1,0
818,47,12,16,38,1,0
817,40,12,16,33,1,0
817,40,16,11,32,1,0
817,40,16,10,31,1,0
815,40,12,15,31,1,0
1602,65,15,14,37,1,0
1602,45,16,10,31,1,0
812,45,16,11,34,1,0
812,40,10,17,34,1,1
809,65,12,11,29,1,0
808,40,12,4,29,1,0
808,40,12,18,38,1,1
808,40,12,17,37,1,1
808,50,18,11,37,1,0
808,50,17,8,30,1,0
808,40,16,6,29,1,0
808,60,13,14,38,1,0
808,40,16,10,29,1,0
808,50,18,8,38,1,0
803,40,13,4,28,1,0
802,40,12,13,29,1,1
801,48,14,6,29,1,1
800,45,12,16,33,1,0
1602,60,16,12,37,1,0
800,40,12,17,35,1,0
800,40,10,21,37,1,1
800,43,12,10,29,1,0
800,40,14,12,37,1,0
800,40,18,11,35,1,0
800,40,12,16,38,1,0
800,40,12,20,38,1,0
800,45,12,19,36,1,0
800,50,14,8,28,1,0
800,55,12,17,36,1,0
800,25,13,14,38,1,0
800,40,12,15,34,1,0
800,50,9,18,34,1,0
797,55,16,11,33,1,0
797,41,12,10,36,1,0
796,48,13,16,37,1,1
795,52,11,16,34,1,0
795,45,12,17,35,1,0
794,40,16,9,29,1,0
793,40,12,17,36,1,0
790,40,12,15,34,1,0
788,40,12,10,28,1,0
788,40,11,15,32,1,1
788,40,12,13,36,1,0
782,40,13,9,31,1,0
781,40,11,13,30,1,0
781,50,12,8,30,1,0
779,40,12,9,30,1,0
779,40,12,14,37,1,1
774,40,12,20,37,1,0
770,40,17,7,30,1,0
770,48,12,13,38,1,0
770,40,12,16,35,1,0
769,40,12,18,36,1,0
769,45,12,16,33,1,0
1607,56,13,7,36,1,0
769,40,12,11,31,1,0
1615,50,16,10,36,1,0
1620,38,15,8,29,1,0
766,40,12,17,35,1,0
765,45,12,17,37,1,0
762,58,15,6,33,1,0
761,48,12,14,38,1,0
760,40,12,12,31,1,0
1634,40,12,18,38,1,0
757,40,16,10,33,1,0
756,40,14,9,31,1,0
754,40,13,9,32,1,0
754,40,12,13,30,1,0
754,40,12,13,33,1,1
753,46,10,21,38,1,0
751,40,12,15,34,1,0
751,40,12,9,38,1,0
751,40,13,9,28,1,0
750,40,13,13,35,1,0
750,40,12,15,33,1,0
750,40,12,11,29,1,0
750,40,14,9,29,1,0
750,50,15,1,37,1,0
750,43,14,12,33,1,0
750,40,12,14,32,1,1
750,60,10,13,30,1,0
750,40,12,4,32,1,1
750,45,11,17,36,1,0
750,40,12,16,37,1,1
1634,40,13,18,36,1,0
740,50,10,23,38,1,0
737,48,12,7,30,1,0
732,40,12,10,36,1,0
732,40,10,17,36,1,0
729,47,18,6,34,1,0
729,60,11,16,34,1,0
727,55,12,11,31,1,0
1643,48,18,8,33,1,0
726,45,12,16,36,1,0
723,40,12,12,30,1,0
723,40,12,15,38,1,0
1679,55,18,10,32,1,0
1682,50,14,15,32,1,0
721,40,12,8,29,1,0
721,40,12,11,30,1,0
720,50,13,1,29,1,0
714,40,12,17,37,1,0
714,35,16,7,28,1,0
714,35,16,9,29,1,0
713,40,12,5,36,1,1
711,45,18,13,36,1,0
711,45,16,8,32,1,0
705,40,12,13,37,1,1
705,40,9,19,36,1,1
705,50,12,15,36,1,0
700,45,12,15,32,1,0
700,40,12,16,36,1,1
700,40,12,17,38,1,1
700,40,13,10,30,1,0
700,38,12,13,32,1,1
700,20,10,13,35,1,1
700,40,12,13,31,1,0
700,50,13,14,38,1,0
700,40,16,10,29,1,0
698,43,12,10,29,1,0
693,53,12,7,28,1,0
693,40,11,18,38,1,0
693,40,12,11,35,1,0
692,50,12,16,34,1,0
692,50,12,17,35,1,0
692,40,12,21,38,1,0
692,50,15,9,38,1,1
690,40,12,9,28,1,0
686,55,10,15,36,1,0
1682,45,16,10,31,1,0
684,45,13,16,38,1,0
684,45,14,7,29,1,0
1682,40,16,10,37,1,0
1699,40,12,11,33,1,0
675,40,12,20,38,1,1
675,40,12,6,34,1,0
675,40,15,8,31,1,0
673,40,17,6,31,1,0
673,40,12,7,38,1,0
673,40,12,17,35,1,0
672,61,12,13,34,1,0
670,40,12,9,29,1,0
670,50,12,14,34,1,0
670,45,12,10,30,1,0
670,40,13,9,29,1,0
668,43,12,11,29,1,0
666,75,18,8,38,1,0
666,70,15,8,32,1,0
666,40,12,10,29,1,0
666,50,12,16,34,1,1
664,60,16,10,34,1,1
664,40,12,8,29,1,0
662,45,14,7,28,1,1
1710,45,18,12,38,1,0
660,42,16,12,31,1,0
658,40,16,11,30,1,0
654,50,17,12,34,1,0
654,50,17,1,33,1,0
654,50,13,5,38,1,0
1710,45,18,7,32,1,0
651,40,11,11,29,1,1
650,40,12,14,30,1,1
650,40,12,13,32,1,0
650,40,12,13,30,1,0
650,40,12,4,28,1,0
650,40,10,14,30,1,0
645,45,12,11,35,1,0
644,42,12,11,33,1,0
642,45,12,12,30,1,1
642,35,13,9,30,1,0
641,45,14,9,37,1,0
1730,50,18,12,37,1,0
635,47,12,13,31,1,0
635,40,12,15,33,1,0
1744,43,16,8,29,1,0
630,40,15,14,32,1,0
629,60,12,6,30,1,1
625,40,16,6,33,1,1
625,40,12,18,35,1,0
625,40,13,11,30,1,0
625,40,18,4,36,1,0
625,40,9,17,34,1,0
625,50,12,12,31,1,0
625,40,11,1,31,1,0
624,40,10,18,36,1,0
623,45,16,7,30,1,0
622,45,16,12,33,1,0
621,43,12,14,31,1,0
620,40,11,10,29,1,1
1746,40,18,9,33,1,0
618,42,12,6,30,1,0
1748,55,18,12,34,1,0
616,55,12,16,35,1,0
615,40,14,9,30,1,0
615,50,15,16,38,1,0
610,50,12,14,30,1,0
606,40,11,13,30,1,0
1748,55,17,10,36,1,0
601,48,12,15,33,1,0
1749,43,12,16,36,1,0
1778,40,16,14,36,1,0
600,40,12,8,30,1,0
600,80,12,20,38,1,0
600,40,15,12,38,1,0
600,40,16,5,30,1,0
600,40,11,7,29,1,0
600,40,13,10,28,1,0
1779,40,17,8,32,1,0
600,40,10,20,36,1,0
600,40,12,16,33,1,0
596,40,12,16,33,1,1
596,40,12,16,34,1,0
590,40,13,10,29,1,0
587,38,17,8,29,1,0
586,56,11,18,35,1,0
586,60,18,6,34,1,0
583,80,12,9,30,1,0
583,48,14,10,37,1,0
583,58,16,9,30,1,0
579,44,13,8,30,1,0
1792,40,16,9,34,1,0
577,60,14,6,30,1,0
1832,40,12,16,36,1,0
577,50,12,9,29,1,0
577,40,15,8,28,1,1
577,55,16,4,31,1,1
1843,48,16,11,32,1,0
575,40,12,11,29,1,0
575,40,13,6,30,1,0
575,40,10,12,33,1,1
575,40,11,17,35,1,0
571,40,9,15,33,1,0
1850,40,11,14,33,1,0
570,50,12,11,30,1,0
566,45,16,5,32,1,0
565,45,10,15,33,1,0
562,80,12,11,28,1,0
562,55,13,4,38,1,0
1874,48,11,22,38,1,1
562,40,11,14,34,1,0
560,49,16,13,32,1,0
560,44,12,16,35,1,1
1903,48,18,13,36,1,0
556,40,16,6,31,1,1
553,40,12,11,30,1,1
550,40,12,15,37,1,0
550,46,12,18,35,1,0
550,56,12,17,36,1,0
550,40,16,15,38,1,0
1920,40,12,13,31,1,0
550,40,12,14,31,1,0
1924,50,17,6,38,1,0
548,40,11,7,33,1,1
547,60,11,17,34,1,0
543,45,14,5,38,1,1
540,40,10,12,29,1,1
540,50,12,12,31,1,0
538,45,12,12,28,1,1
538,55,18,5,34,1,0
1924,50,18,9,38,1,0
1924,50,16,16,37,1,0
533,45,15,8,30,1,0
529,40,13,14,32,1,0
528,55,18,5,30,1,0
525,40,12,12,30,1,0
525,40,13,5,31,1,0
525,40,12,9,34,1,0
523,43,13,9,30,1,0
520,40,10,15,31,1,0
520,50,18,6,29,1,0
520,40,16,8,30,1,0
520,40,16,6,30,1,1
515,45,13,8,28,1,0
1924,50,18,11,35,1,0
513,40,16,8,33,1,0
511,45,12,13,30,1,0
1924,40,16,14,36,1,0
508,40,12,1,31,1,1
508,50,12,16,32,1,1
508,50,17,9,31,1,0
507,55,14,10,32,1,0
1924,45,16,17,38,1,0
500,40,13,14,32,1,0
500,44,13,5,31,1,0
500,55,12,11,29,1,0
500,40,12,18,36,1,1
500,40,12,6,33,1,0
500,40,9,21,38,1,1
500,30,13,10,38,1,0
500,40,14,12,32,1,0
500,44,12,21,38,1,0
500,45,12,19,37,1,0
500,70,12,13,32,1,0
500,50,11,20,37,1,0
500,45,12,14,32,1,0
495,40,12,6,31,1,0
494,40,12,16,34,1,1
492,60,12,15,34,1,1
2004,48,18,10,34,1,0
489,55,13,20,38,1,0
488,40,17,5,31,1,0
2067,40,16,12,33,1,0
485,40,12,11,30,1,1
2099,55,16,10,32,1,0
481,40,12,9,32,1,0
480,40,12,9,37,1,0
2137,45,16,17,38,1,0
2137,45,16,11,36,1,0
479,40,12,15,38,1,0
478,45,10,19,34,1,0
477,60,9,12,30,1,0
477,45,12,9,31,1,0
2137,45,13,8,30,1,0
472,45,11,9,32,1,0
471,44,12,13,31,1,0
465,43,13,10,29,1,0
462,55,12,6,29,1,1
462,40,12,11,29,1,0
460,40,11,16,36,1,0
453,50,12,9,30,1,0
450,40,11,12,31,1,1
450,40,10,20,36,1,1
2137,40,16,16,37,1,0
450,40,15,9,31,1,0
450,40,11,12,30,1,0
2162,40,15,9,31,1,0
2162,40,18,10,32,1,0
445,40,10,19,38,1,0
445,40,12,11,32,1,0
442,60,12,12,33,1,0
441,38,12,12,30,1,0
440,40,12,11,30,1,1
2162,40,17,4,38,1,0
433,50,12,5,37,1,0
425,40,10,7,30,1,0
2308,40,17,8,38,1,0
418,40,12,12,31,1,1
2310,40,18,12,38,1,0
2404,50,14,1,36,1,0
2404,50,15,8,32,1,0
403,45,12,5,30,1,0
402,40,12,9,28,1,1
400,70,12,12,32,1,0
400,50,12,4,31,1,1
2500,40,15,12,36,1,0
400,40,10,12,32,1,1
400,40,12,14,32,1,1
400,40,12,11,32,1,0
393,48,12,15,38,1,0
390,59,15,10,30,1,1
390,55,12,4,32,1,0
380,50,12,15,30,1,0
2500,60,12,21,38,1,0
375,40,14,9,30,1,1
2668,75,13,12,32,1,0
375,40,10,12,30,1,0
370,32,12,13,31,1,1
2771,50,18,6,34,1,0
3078,65,14,12,36,1,0
357,70,13,5,30,1,0
357,70,14,6,28,1,0
350,40,12,14,36,1,0
350,40,12,14,32,1,0
912,40,16,11,30,1,0
350,45,16,5,33,1,0
346,40,12,16,38,1,0
345,40,12,7,31,1,1
340,50,14,4,31,1,0
325,55,12,11,29,1,0
325,40,14,10,33,1,1
318,40,12,16,36,1,1
3088,30,13,11,29,1,0
300,24,12,16,37,1,1
289,40,12,9,30,1,0
265,40,12,18,37,1,0
260,40,12,21,37,1,1
233,60,16,7,30,1,0
200,55,10,11,32,1,0
115,50,12,9,29,1,0
